"SINONIMO NAZIONE","NAZIONE di riferimento per impostare l'ISOCODE"
"SAMOA NORTEAMERICANO","SAMOA AMERICANE"
"SAMOA OCC","SAMOA OCCIDENTALI"
"SAMOA OCC.","SAMOA OCCIDENTALI"
"SAMOA OCCIDENTAL","SAMOA OCCIDENTALI"
"SAMOA OCCIDENTALI","SAMOA OCCIDENTALI"
"SAMOA U S A","SAMOA AMERICANE"
"SAMOA U.S.A.","SAMOA AMERICANE"
"SAMON ISLAND","SAMOA AMERICANE"
"SAN CRISTOBAL Y NEVIS","SAINT CHRISTOPHER E NEVIS"
"SAN MARINO","SAN MARINO"
"SAN PEDRO","SAINT PIERRE E MIQUELON"
"SAN VINCENZO","SAINT VINCENT E LE GRENADINE"
"SANDWICH","GEORGIA DEL SUD E SANDWICH DEL SUD"
"SANT ELENA","SANT' ELENA"
"SANT' ELENA","SANT' ELENA"
"SANT'ELENA","SANT' ELENA"
"SANTA ELENA","SANT' ELENA"
"SANTA LUCIA","SAINT LUCIA"
"SANTO TOME Y PRINCIPE","SAO TOME E PRINCIPE"
"SAO TOME AND PRINCIPE","SAO TOME E PRINCIPE"
"SAO TOME E PRINCIPE","SAO TOME E PRINCIPE"
"SÃO TOMÉ E PRÍNCIPE","SAO TOME E PRINCIPE"
"SAO TOME ET PRINCIPE","SAO TOME E PRINCIPE"
"SAUDI ARABIA","ARABIA SAUDITA"
"SCHWEIZ","SVIZZERA"
"SENEGAL","SENEGAL"
"SÉNÉGAL","SENEGAL"
"SERBIA","SERBIA"
"SERBIE","SERBIA"
"SEYCHELLES","SEYCHELLES"
"SIERRA LEON","SIERRA LEONE"
"SIERRA LEONA","SIERRA LEONE"
"SIERRA LEONE","SIERRA LEONE"
"SINGAPORE","SINGAPORE"
"SINGAPOUR","SINGAPORE"
"SINGAPUR","SINGAPORE"
"SLOVACCHIA","SLOVACCHIA"
"SLOVAK REPUBLIC","SLOVACCHIA"
"SLOVAKIA","SLOVACCHIA"
"SLOVAQUIE","SLOVACCHIA"
"SLOVENIA","SLOVENIA"
"SLOVENIE","SLOVENIA"
"SLOVÉNIE","SLOVENIA"
"SOLOMON","ISOLE SALOMONE"
"SOLOMON ISLANDS","ISOLE SALOMONE"
"SOUDAN","SUDAN"
"SOUTH AFRICA","SUDAFRICA"
"SOUTH GEORGIA","GEORGIA DEL SUD E SANDWICH DEL SUD"
"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS","GEORGIA DEL SUD E SANDWICH DEL SUD"
"SOUTH SUDAN","SUD SUDAN"
"SPAGNA","SPAGNA"
"SPAIN","SPAGNA"
"SPANIA","SPAGNA"
"SRI LANKA","SRI LANKA"
"ST HELENA","SANT' ELENA"
"ST. HELENA","SANT' ELENA"
"ST. LUCIA","SAINT LUCIA"
"STATI UNITI D' AMERICA","STATI UNITI D'AMERICA"
"STATI UNITI D'AMERICA","STATI UNITI D'AMERICA"
"STATI UNITI DAMERICA","STATI UNITI D'AMERICA"
"SUD SUDAN","SUD SUDAN"
"SUDAFRICA","SUDAFRICA"
"SUDAFRICANA","SUDAFRICA"
"SUDAN","SUDAN"
"SUECIA","SVEZIA"
"SUEDE","SVEZIA"
"SUÈDE","SVEZIA"
"SUISSE","SVIZZERA"
"SUIZA","SVIZZERA"
"SURINAM","SURINAME"
"SURINAME","SURINAME"
"SVERIGE","SVEZIA"
"SVEZIA","SVEZIA"
"SVIZZERA","SVIZZERA"
"SWAZILAND","SWAZILAND"
"SWAZILANDIA","SWAZILAND"
"SWEDEN","SVEZIA"
"SWITZERLAND","SVIZZERA"
"TADJIKISTAN","TADJIKISTAN"
"TAGIKISTAN","TADJIKISTAN"
"TAILANDIA","TAILANDIA"
"TAIWAN","TAIWAN"
"TAIWAN (FORMOSA)","TAIWAN"
"TAIWAN FORMOSA","TAIWAN"
"TAIWAN PROVINCE OF CHINA","TAIWAN"
"TAIWAN, PROVINCE OF CHINA","TAIWAN"
"TAJIKISTAN","TADJIKISTAN"
"TANZANIA","TANZANIA"
"TANZANIA UNITED REPUBLIC OF","TANZANIA"
"TANZANIA, UNITED REPUBLIC OF","TANZANIA"
"TANZANIE","TANZANIA"
"TCHAD","CIAD"
"TCHÈQUE  ( REP.)","REPUBBLICA CECA"
"TERRE ADELIE","TERRE AUSTRALI E ANTART. FRANCESI"
"TERRE AUSTRALI E ANTART FRANCESI","TERRE AUSTRALI E ANTART. FRANCESI"
"TERRE AUSTRALI E ANTART. FRANCESI","TERRE AUSTRALI E ANTART. FRANCESI"
"TERRE AUSTRALI E ANTARTICHE FRANCESI","TERRE AUSTRALI E ANTART. FRANCESI"
"TERRIT BRIT DELL' OCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRIT BRIT DELL'OCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRIT BRIT DELLOCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRIT. BRIT. DELL' OCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRIT. BRIT. DELL'OCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRITORIO BRITANNICO DELL'OCEANO INDIANO","TERRIT. BRIT. DELL'OCEANO INDIANO"
"TERRITORIO BRITANNICO DELLOCEANO INDIAN","TERRIT. BRIT. DELL'OCEANO INDIANO"
"THAILAND","TAILANDIA"
"THAILANDE","TAILANDIA"
"THAÏLANDE","TAILANDIA"
"THAILANDIA","TAILANDIA"
"THE GAMBIA","GAMBIA"
"TIMOR EST","TIMOR PORTOGHESE"
"TIMOR LESTE","TIMOR PORTOGHESE"
"TIMOR ORIENTAL","TIMOR PORTOGHESE"
"TIMOR ORIENTALE","TIMOR PORTOGHESE"
"TIMOR PORTOGHESE","TIMOR PORTOGHESE"
"TIMOR PORTUGUES","TIMOR PORTOGHESE"
"TINIAN","ISOLE MARIANNES"
"TOBAGO","TRINIDAD E TOBAGO"
"TOGO","TOGO"
"TOGOLESA","TOGO"
"TOGOLESE REPUBLIC","TOGO"
"TOKELAU","ISOLE TOKELAU"
"TOKELAU ISLANDS","ISOLE TOKELAU"
"TONGA","TONGA"
"TRINIDAD","TRINIDAD E TOBAGO"
"TRINIDAD AND TOBAGO","TRINIDAD E TOBAGO"
"TRINIDAD E TOBAGO","TRINIDAD E TOBAGO"
"TRINIDAD Y TOBAGO","TRINIDAD E TOBAGO"
"TRINITE ET TOBAGO","TRINIDAD E TOBAGO"
"TRINITÉ ET TOBAGO","TRINIDAD E TOBAGO"
"TRISTAN DA CUNHA","TRISTAN DA CUNHA"
"TUNEZ","TUNISIA"
"TUNISIA","TUNISIA"
"TUNISIE","TUNISIA"
"TURCHIA","TURCHIA"
"TURKEY","TURCHIA"
"TURKMENISTAN","TURKMENISTAN"
"TURKMÉNISTAN","TURKMENISTAN"
"TURKS","ISOLE TURKS E CAICOS"
"TURKS AND CAICOS ISLANDS","ISOLE TURKS E CAICOS"
"TURKS E CAICOS","ISOLE TURKS E CAICOS"
"TURKS ET CAIQUES","ISOLE TURKS E CAICOS"
"TURQUES E CAIQUES","ISOLE TURKS E CAICOS"
"TURQUIA","TURCHIA"
"TURQUIE","TURCHIA"
"TUVALU","TUVALU"
"U K","GRAN BRETAGNA"
"U S A","STATI UNITI D'AMERICA"
"U.K.","GRAN BRETAGNA"
"U.S.A.","STATI UNITI D'AMERICA"
"UCRAINA","UCRAINA"
"UGANDA","UGANDA"
"UKRAINE","UCRAINA"
"UKRAINIAN","UCRAINA"
"UNGHERIA","UNGHERIA"
"UNITED ARAB EMIRATES","EMIRATI ARABI UNITI"
"UNITED KINGDOM","GRAN BRETAGNA"
"UNITED STATES","STATI UNITI D'AMERICA"
"UNITED STATES OF AMERICA","STATI UNITI D'AMERICA"
"UNITED STATES VIRGIN ISLANDS","ISOLE VERGINI AMERICANE"
"URUGUAY","URUGUAY"
"USA","STATI UNITI D'AMERICA"
"UZBEKISTAN","UZBEKISTAN"
"VANUATU","VANUATU"
"VATICAN","CITTA' DEL VATICANO"
"VATICAN CITY","CITTA' DEL VATICANO"
"VATICAN CITY STATE","CITTA' DEL VATICANO"
"VATICANO","CITTA' DEL VATICANO"
"VENEZUELA","VENEZUELA"
"VERGINI BRITANNICHE","ISOLE VERGINI BRITANNICHE"
"VERGINI U S A","ISOLE VERGINI AMERICANE"
"VERGINI U.S.A.","ISOLE VERGINI AMERICANE"
"VIET NAM","VIET NAM"
"VIETNAM","VIET NAM"
"VIRGIN ISLANDS BRITISH","ISOLE VERGINI BRITANNICHE"
"VIRGIN ISLANDS U S A","ISOLE VERGINI AMERICANE"
"VIRGIN ISLANDS U.S.","ISOLE VERGINI AMERICANE"
"VIRGIN ISLANDS U.S.A","ISOLE VERGINI AMERICANE"
"VIRGIN ISLANDS, BRITISH","ISOLE VERGINI BRITANNICHE"
"VIRGIN ISLANDS, U.S.","ISOLE VERGINI AMERICANE"
"WAKE","WAKE"
"WAKE ISLAND","WAKE"
"WALLIS","WALLIS E FUTUNA"
"WALLIS AND FUTUNA","WALLIS E FUTUNA"
"WALLIS AND FUTUNA ISLANDS","WALLIS E FUTUNA"
"WALLIS E FUTUNA","WALLIS E FUTUNA"
"WESTERN SAMOA","SAMOA OCCIDENTALI"
"ZAIRE","REPUBBLICA DEMOCRATICA DEL CONGO"
"ZAMBIA","ZAMBIA"
"ZAMBIE","ZAMBIA"
"ZIMBABWE","ZIMBABWE"
"ZIMBAWE","ZIMBABWE"
"SUD AFRICA","SUDAFRICA"
